pali	grammar_y	meaning_y	from_y	exists
āliṅgeti	present 3 singular	embraces, encircles	āliṅgati	right_only
ālimpāpeti	present 3 singular	causes to anoint	ālimpati	right_only
āluppakārakaṃ	indeclinable	making it into lumps; tearing of bits		right_only
ālumpati	present 3 singular	tears out; pulls out		right_only
ālokakaraṇa	adjective	light-giving, illuminating	āloka	right_only
ālokada	adjective	giving light	āloka	right_only
ālokapharaṇa	masculine	pervasion or pervading with light or insight	āloka	right_only
ālokayati	present 3 singular	looks at; looks forward	āloketi	right_only
ālopati	present 3 singular	robs; plunders		right_only
āloḷayati	cause. present 3 singular	stirs up, disturbs; mixes, confuses, confounds	['āluḷati', 'āloḷeti']	right_only
āḷhakathālikā	feminine	a cooking pot holding an āḷhaka of rice	āḷhaka	right_only
āvajjayati	present 3 singular	tilts, tips up (to pour out); tips over	['āvajjati', 'āvajjeti']	right_only
āvajjayati	present 3 singular	turns (one’s mind) to, gives one’s attention to; ponders over, thinks about	['āvajjati', 'āvajjeti']	right_only
āvaṭṭagāha	masculine (or adjective)	seizure, possession by a whirlpool; (or: seized by a whirlpool)	āvaṭṭa	right_only
āvamati	present 3 singular	swallows back; swallows what one has vomited or ejected		right_only
āvaraṇaṃ karoti	phrase	obstructs; prohibits	āvaraṇa	right_only
āvasathagāra	neuter	dwelling; rest-house	āvasatha	right_only
āvasathacīvara	neuter	a household robe (allowed to menstruating bhikkhunīs)	āvasatha	right_only
āvasika	adjective	(from āvasati) living in or on		right_only
āvasita	past participle adjective	living in or on	āvasati	right_only
āvahāpeyyum	causative opt. 3 plural	may they bring through; may they lead through	āvahati	right_only
āvāpaka	masculine	a vessel, a container		right_only
āvāretabba	future passive participle adjective	to obstruct; to shut off		right_only
āvāsakappa	masculine	residence practice (the practice of several residences holding separate uposathas within the same boundary)	āvāsa	right_only
āvāsaparamparā	feminine	a succession of residences or dwellings	āvāsa	right_only
āvāsaparamparāṃ	adverb	to all the dwellings in succession	āvāsa	right_only
āvāsapaligedhī	adjective	greedy, selfish about dwellings	āvāsa	right_only
āvāsapaligedhi	adjective	greedy, selfish about dwellings	āvāsa	right_only
āvāsamaccharī	adjective	selfish about dwellings	āvāsa	right_only
āvāsamacchari	adjective	selfish about dwellings	āvāsa	right_only
āvāsamacchariya	neuter	selfish, meanness about dwellings	āvāsa	right_only
āvāhavivāhaka	masculine (fn)	one who has a son or daughter to give in marriage	āvāha	right_only
āviṃ	indeclinable	before the eyes; openly, manifestly; in public	['āvi', 'āvī']	right_only
āvikatta	masculine	one who makes manifest, who reveals, discloses	āvi	right_only
āviñjanacchidda	neuter	the pulling-hole (for pulling a door closed with one’s finger or a rope)	āviñjana	right_only
āviñjanarajju	feminine	the pulling rope, the rope for pulling the door or door-bolt closed	āviñjana	right_only
āvī	indeclinable	before the eyes; openly, manifestly; in public	['āvi', 'āviṁ']	right_only
āvuṭa	past participle adjective	covered, encompassed; obstructed; shut, shut off	['āvuta and āvata', 'āvarati']	right_only
āvuṇati	present 3 singular	strings; threads; inserts; impales	āvunati	right_only
āvuṇoti	present 3 singular	covers; shuts; obstructs	['āvuṇati', 'āvarati']	right_only
āvudhalakkhaṇa	neuter	signs of omen on weapons	āvudha	right_only
āvunati	present 3 singular	strings; threads; inserts; impales	āvuṇati	right_only
āvusavāda	masculine	the addressing as āvuso, the title āvuso	['āvusovāda', 'āvuso']	right_only
āveṇi	adverb or adjective	separately, apart; or not united, separate	['āveṇiṁ', 'āveni']	right_only
āveṇiṃ	adverb or adjective	separately, apart; or not united, separate	['āveṇi', 'āveni']	right_only
āveṇibhāva	masculine	separateness, distinction; schism	āveṇi	right_only
āveṇiya	adjective	not united, not mingled together (as is a plait of hair or the confluence of rivers); separate; specific, particular	['āveṇika', 'āvenika', 'āveniya']	right_only
āveni	adverb or adjective	separately, apart; or not united, separate	['āveṇi', 'āveṇiṁ']	right_only
āvenika	adjective	not united, not mingled together (as is a plait of hair or the confluence of rivers); separate; specific, particular	['āveṇika', 'āveṇiya', 'āveniya']	right_only
āveniya	adjective	not united, not mingled together (as is a plait of hair or the confluence of rivers); separate; specific, particular	['āveṇika', 'āveṇiya', 'āvenika']	right_only
āvesanavitthaka	neuter	a small bowl for keeping sewing utensils	āvesana	right_only
āsaṃsuka	adjective	full of expectation; hoping		right_only
āsanantarikā	feminine	an interval or seat	āsana	right_only
āsanapariyanta	masculine	the last seat	āsana	right_only
āsandika	masculine	a bench; a chair		right_only
āsandipañcama	adjective	with a chair as the fifth’, four carrying a chair (as a bier)	āsandi	right_only
āsavakhīna	adjective	with āsavas destroyed; free from the āsavas	āsava	right_only
āsavaṭṭhaniya	adjective	being a basis or cause of afflictions; being a basis or cause of the āsavas	āsava	right_only
āsādanapekkha	adjective	looking to insult, aiming to be offensive	āsādana	right_only
āsādayati	present 3 singular	meets, encounters, reaches; approaches with (physical or verbal) violence; strikes against, hits; offends, insults	['āsādeti', 'āsīdati']	right_only
āsāḷhi	feminine	the full-moon day in the month āsāḷha; (iic) the month āsāḷha		right_only
āsāvacchedika	adjective	depending on the disappointment of expectation	āsā	right_only
āsiñcitvā	absolutive	having poured on or into; dripped	āsiñcati	right_only
āsīdati	present 3 singular	approaches; meets with, encounters; approaches with (physical or verbal) violence; strikes against, hits; offends, insults		right_only
āsumhati	present 3 singular	lets fall, drops; throws down	āsumbhati	right_only
āhacca tiṭṭhati	phrase	reaches; touches, strikes		right_only
āhañhi	future 1 singular	will hit, will strike; will beat; will come into contact with, will reach		right_only
āhañhiṃ	future 1 singular	will hit, will strike; will beat; will come into contact with, will reach		right_only
āhataka	masculine	a servant	āhanati	right_only
āhatta	masculine	one who brings		right_only
āharahattha	masculine or adjective	(giving a) hold for the hands		right_only
āharāpayati	causative present 3 singular	causes to be taken or fetc.hed; sends for; demands	['āharāpeti', 'āharati']	right_only
āhariṃsu	3 plural	see āharati)		right_only
āharitr	masculine	(from āharati) one who takes, uses; who eats		right_only
āharit	masculine	(from āharati) one who takes, uses; who eats		right_only
āharima	adjective	added, accessory		right_only
āharima	adjective	which has been added to; dependent on accessories		right_only
āhariyitha	aorist 3 singular	(they) brought, offered	āharati	right_only
āhareti	present 3 singular	brings, fetc.hes, conveys; takes, collects; uses	āharati	right_only
āhareti	present 3 singular	satthaṁ ~ati, ~eti, takes the knife, kills oneself	āharati	right_only
āhārayati	causative present 3 singular	(also āhāreti) eats	['āhāreti', 'āharati']	right_only
āhārupahāra	adjective	taking and giving; dealings	āhāra	right_only
āhāsi	aorist 3 singular	spoken; declared, related; quoted	āharati	right_only
āhuta	adjective	produced, coming from		right_only
āhuna	neuter	offering; honoring		right_only
āhuneyyaggi	masculine	the oblation of fire	āhuneyya	right_only
ikkāsa	masculine or neuter	a sticky substance used to bind pigment		right_only
iṅgāla	masculine	charcoal; burning coal		right_only
iṅgālakhu	feminine	a pit of burning coal	iṅgāla	right_only
icchavacara	masculine	a sphere of desire, domain of wishes	icchā	right_only
icchavatiṇṇa	adjective	affected by desires, by wants	icchā	right_only
icchādhūmāyita	adjective	obscured, darkened by desire; pained by desire	['icchādhūpāyita', 'icchā']	right_only
iṇaghāta	masculine	one who does not pay his debts	iṇa	right_only
iṇādāna	neuter	raising a loan, taking on a debt	iṇa	right_only
iti citi ca	phrase	in this way and that, thus and thus	iti	right_only
iti cīti ca	phrase	in this way and that, thus and thus	iti	right_only
iti ha	phrase	thus indeed; so it seems; according to tradition	['itiha', 'iti']	right_only
itivādapamokkhānisaṃsa	masculine & adjective	(masculine) the benefit of combating criticism	iti	right_only
itivādapamokkhānisaṃsa	masculine & adjective	(adjective) possessing or seeking the benefit of combating criticism	iti	right_only
ito cito ca	phrase	from here and there; here and there	ito	right_only
ito nidāna	adjective	originating from this	ito	right_only
ito nidānaṃ	adverb	as a consequence of this	ito	right_only
ittaraṃ	accusative adverb	for a short time; briefly	ittara	right_only
ittarajacca	adjective	of inferior birth	ittara	right_only
itthantara	adjective	with a woman inside (?); with a woman driver (?)	itthi	right_only
itthanāma	adjective & masculine feminine	one having such and such a name; called so-and-so; so and so; such and such	itthaṁ	right_only
itthikutta	neuter	a female contriving, feminine wiles; a woman’s ways	itthi	right_only
itthipariggaha	masculine	women; wives	itthi	right_only
itthipumā	masculine plural	male and female; men and women	itthi	right_only
itthibhāva	masculine	the state of being a woman; femininity; birth, existence, as a woman	itthi	right_only
itthiyā	feminine	a woman; a mere woman	itthikā	right_only
itthiyutta	adjective	yoked with a female animal (?)	itthi	right_only
itthirūpaka	neuter	the likeness of a woman	itthi	right_only
itthisoṇḍī	feminine	a woman addicted to drink	itthi	right_only
idamaṭṭhitā	feminine abstr	needing (only) this; requiring the minimum	['idam-atthitā', 'idaṁ']	right_only
idamatthika	adjective	being for this purpose	idaṁ	right_only
idamatthitā	feminine abstr	needing (only) this; requiring the minimum	['idam-aṭṭhitā', 'idaṁ']	right_only
iddhabhisaṅkhāra	masculine	exercise of supernatural power(s)	iddhi	right_only
iddhipahutā	feminine	mastery of or possession of supernatural power(s)	iddhi	right_only
iddhimat	adjective (masculine/feminine)	of splendid power; (one) who possesses supernatural power(s)	iddhi	right_only
iddhima	adjective (masculine/feminine)	of splendid power; (one) who possesses supernatural power(s)	iddhi	right_only
iddhivikubbana	neuter ~ā, feminine	a transformation effected by supernatural power(s); a display of magic	iddhi	right_only
iddhivisavitā	feminine abstr	mastery of, possession of, supernatural power(s)	iddhi	right_only
indagopakasañchanna	adjective	covered with indagopaka; (according to commentaries) covered with red grass	indagopaka	right_only
indasagotta	adjective	who has the same gotra as Inda	inda	right_only
indriyatta	neuter abstr	the sate of different degrees of development of the faculties	indriya	right_only
iminā upāyena	phrase	in this way, thus; by this means	upāya	right_only
iriṇa	neuter	desert, inhospitable region; barren or salt soil (also metaphor.		right_only
iriyāpathiya	adjective	based on (good) conduct	iriyā	right_only
isikā	feminine	the inner part of a reed or stalk (used as an arrow shaft); a stalk of grass	['isīkā', 'īsikā']	right_only
isisattama	m(fn.)	best of seers; or seventh of the isis		right_only
isīkā	feminine	the inner part of a reed or stalk (used as an arrow shaft); a stalk of grass	['isikā', 'īsikā']	right_only
issarakutta	neuter	the work of a god; creation by a god	issara	right_only
issarā	feminine	a mistress		right_only
issariyapariyosāna	adjective	whose ideal or aim is power or kingship	issariya	right_only
issāpakata	adjective	full of envy; jealous by nature	issā	right_only
issuki	adjective (f. ~ī or ~inī)	jealous, envious		right_only
ītī	feminine	calamity, affliction	īti	right_only
īdisaka	adjective	of such a kind; like this		right_only
